gene,hotspot_freq_luad,n_luad_lines_hotspot,n_luad_lines_screened_hotspot,mean_expr_logTPM,std_expr_logTPM,n_luad_lines_expr,mean_copy_number,n_luad_lines_cn,mean_crispr_dependency,n_luad_lines_crispr_dependency,mean_crispr_effect,n_luad_lines_crispr_effect
RSPH4A,0.0,0.0,131.0,0.2078,0.2102,83.0,0.9169,45.0,0.0158,53.0,0.1372,53.0
RSPH6A,,,,0.0212,0.0416,83.0,1.0325,45.0,0.1091,53.0,-0.1384,53.0
RSPH9,,,,0.7419,0.2657,83.0,0.9916,45.0,0.2103,53.0,-0.247,53.0
RSPO1,,,,0.0247,0.0608,83.0,1.0328,45.0,0.037,53.0,-0.0273,53.0
RSPO2,,,,0.124,0.4166,83.0,1.1235,45.0,0.0237,53.0,0.0539,53.0
RSPO3,,,,1.2586,1.9981,83.0,0.9339,45.0,0.0126,53.0,0.1127,53.0
RSPO4,,,,0.2475,0.6929,83.0,1.0477,45.0,0.021,53.0,0.0496,53.0
RSPRY1,,,,4.582,0.6003,83.0,1.1439,45.0,0.0512,53.0,-0.0519,53.0
RSRC1,,,,4.6209,0.5081,83.0,1.1272,45.0,0.0568,53.0,-0.0697,53.0
RSRC2,,,,6.0552,0.408,83.0,1.0869,45.0,0.4833,53.0,-0.4535,53.0
RSRP1,,,,5.2561,0.8309,83.0,0.9433,45.0,0.0406,53.0,0.0283,53.0
RSU1,,,,4.938,0.9044,83.0,0.912,45.0,0.0994,53.0,-0.1225,53.0
RTBDN,,,,0.6779,0.7865,83.0,0.9124,45.0,0.0331,53.0,-0.0218,53.0
RTCA,,,,4.9385,0.551,83.0,1.0432,45.0,0.0271,53.0,0.0226,53.0
RTCB,,,,6.166,0.4106,83.0,0.9068,45.0,0.6598,53.0,-0.6595,53.0
RTEL1,,,,3.6673,0.7523,83.0,1.371,45.0,0.5509,53.0,-0.5469,53.0
RTEL1-TNFRSF6B,,,,,,,1.3724,45.0,,,,
RTF1,,,,4.3167,0.5185,83.0,0.9484,45.0,0.8105,53.0,-0.7216,53.0
RTF2,,,,6.1356,0.4453,83.0,1.3322,45.0,0.9034,53.0,-0.9704,53.0
RTKN,,,,4.6852,0.9843,83.0,1.2239,45.0,0.1147,53.0,-0.1464,53.0
RTKN2,0.0,0.0,131.0,2.7349,0.8924,83.0,1.0741,45.0,0.0941,53.0,-0.1338,53.0
RTL1,,,,0.0572,0.2269,83.0,1.1516,45.0,0.0515,53.0,-0.0496,53.0
RTL10,,,,3.2628,0.9121,83.0,1.3584,45.0,0.0634,53.0,-0.0748,53.0
RTL3,,,,0.0732,0.2734,83.0,0.66,45.0,0.027,53.0,0.043,53.0
RTL4,,,,0.0013,0.0046,83.0,0.7042,45.0,0.0087,53.0,0.1253,53.0
RTL5,,,,0.725,0.77,83.0,0.6964,45.0,0.0966,53.0,-0.1461,53.0
RTL6,,,,3.5206,0.6466,83.0,0.8844,45.0,0.0052,53.0,0.2057,53.0
RTL8A,,,,5.7623,0.9904,83.0,0.7256,45.0,0.0353,48.0,0.1082,48.0
RTL8B,,,,2.8198,1.3458,83.0,0.7467,45.0,0.0692,53.0,-0.0915,53.0
RTL8C,,,,5.7743,1.0998,83.0,0.7525,45.0,0.0312,53.0,0.0373,53.0
RTL9,,,,0.1113,0.1741,83.0,0.7537,45.0,0.0199,53.0,0.042,53.0
RTN1,,,,0.5425,0.956,83.0,1.2443,45.0,0.0373,53.0,-0.0125,53.0
RTN2,,,,2.8103,1.0927,83.0,1.0478,45.0,0.1262,53.0,-0.1683,53.0
RTN3,,,,7.0702,0.5887,83.0,1.0787,45.0,0.2666,53.0,-0.2904,53.0
RTN4,,,,8.0243,0.6465,83.0,1.2012,45.0,0.0281,53.0,0.0788,53.0
RTN4IP1,,,,3.0135,0.5165,83.0,0.9093,45.0,0.1801,53.0,-0.2032,53.0
RTN4R,,,,2.2476,1.0534,83.0,1.1528,45.0,0.0785,53.0,-0.0924,53.0
RTN4RL1,,,,0.5174,0.8207,83.0,0.9484,45.0,0.0271,53.0,0.0168,53.0
RTN4RL2,,,,1.7549,1.2778,83.0,1.0938,45.0,0.0682,53.0,-0.0915,53.0
RTP1,,,,0.0159,0.069,83.0,1.0723,45.0,0.0211,53.0,0.0449,53.0
RTP2,,,,0.0047,0.0175,83.0,1.1043,45.0,0.0159,53.0,0.0908,53.0
RTP3,,,,0.0828,0.3953,83.0,0.9309,45.0,0.0444,53.0,-0.0401,53.0
RTP4,,,,0.5879,0.8511,83.0,1.1156,45.0,0.0153,53.0,0.0736,53.0
RTP5,,,,0.001,0.0032,83.0,1.0494,45.0,0.0277,53.0,0.0591,53.0
RTRAF,,,,7.8015,0.4652,83.0,1.3352,45.0,0.4439,53.0,-0.4098,53.0
RTTN,,,,2.823,0.7205,83.0,0.8158,45.0,0.4888,53.0,-0.4563,53.0
RUBCN,,,,3.1512,0.6048,83.0,1.1368,45.0,0.0151,53.0,0.1075,53.0
RUBCNL,,,,0.3221,0.4807,83.0,0.8421,45.0,0.0238,53.0,0.0548,53.0
RUFY1,,,,5.0639,0.6641,83.0,1.0966,45.0,0.0183,53.0,0.0514,53.0
RUFY2,,,,3.1877,0.4831,83.0,0.9465,45.0,0.0329,53.0,0.0144,53.0
RUFY3,,,,3.9046,0.753,83.0,0.8809,45.0,0.0266,53.0,0.0293,53.0
RUFY4,,,,0.101,0.2978,83.0,1.0578,45.0,,,,
RUNDC1,,,,3.3914,0.4314,83.0,1.1032,45.0,0.0644,53.0,-0.0754,53.0
RUNDC3A,,,,0.7529,0.8182,83.0,1.135,45.0,0.1177,53.0,-0.1402,53.0
RUNDC3B,,,,0.3575,0.4593,83.0,1.159,45.0,0.0148,53.0,0.0731,53.0
RUNX1,0.0,0.0,131.0,4.125,1.1563,83.0,0.9645,45.0,0.0506,53.0,0.0797,53.0
RUNX1T1,,,,0.1241,0.4535,83.0,1.1443,45.0,0.06,53.0,-0.061,53.0
RUNX2,,,,2.0839,1.3846,83.0,1.0162,45.0,0.1792,53.0,-0.2329,53.0
RUNX3,,,,1.2494,1.3577,83.0,0.9781,45.0,0.0558,53.0,-0.0281,53.0
RUSC1,0.0,0.0,131.0,5.1911,0.7227,83.0,1.2986,45.0,0.1739,53.0,-0.2095,53.0
RUSC2,,,,2.8464,0.8932,83.0,0.9975,45.0,0.0154,53.0,0.0927,53.0
RUSF1,,,,5.273,0.6494,83.0,1.0681,45.0,0.0159,53.0,0.1134,53.0
RUVBL1,,,,6.214,0.4828,83.0,1.1253,45.0,0.9983,53.0,-2.1201,53.0
RUVBL2,,,,6.5296,0.5067,83.0,1.0692,45.0,0.9988,53.0,-2.0995,53.0
RWDD1,,,,5.2256,0.5913,83.0,0.9327,45.0,0.0134,53.0,0.107,53.0
RWDD2A,,,,1.5983,0.5512,83.0,0.9361,45.0,0.0183,53.0,0.0632,53.0
RWDD2B,,,,4.2136,0.7983,83.0,0.9725,45.0,0.0177,53.0,0.0644,53.0
RWDD3,,,,4.3881,0.7042,83.0,1.2703,45.0,0.0544,53.0,-0.0451,53.0
RWDD4,,,,4.2641,0.5064,83.0,0.914,45.0,0.062,19.0,-0.0418,19.0
RXFP1,,,,0.076,0.2507,83.0,0.93,45.0,0.0162,53.0,0.0838,53.0
RXFP2,,,,0.0063,0.03,83.0,0.8374,45.0,0.0091,53.0,0.1228,53.0
RXFP3,,,,0.0063,0.0181,83.0,1.4817,45.0,0.0258,53.0,0.0361,53.0
RXFP4,,,,0.2879,0.5435,83.0,1.3543,45.0,0.0462,53.0,-0.0328,53.0
RXRA,0.0,0.0,131.0,3.6877,0.981,83.0,1.0551,45.0,0.1926,53.0,-0.2024,53.0
RXRB,,,,4.3725,0.5989,83.0,1.0216,45.0,0.0366,53.0,0.0099,53.0
RXRG,,,,0.0386,0.1217,83.0,1.2138,45.0,0.0516,53.0,-0.0592,53.0
RXYLT1,,,,4.6475,0.5414,83.0,1.1583,45.0,0.0403,53.0,-0.0171,53.0
RYBP,,,,3.9537,0.5794,83.0,0.9386,45.0,,,,
RYK,,,,5.443,0.4951,83.0,1.1575,45.0,0.0551,2.0,-0.0785,2.0
RYR1,,,,1.1689,1.1879,83.0,1.0793,45.0,0.0992,53.0,-0.1498,53.0
RYR2,,,,0.3413,0.7635,83.0,1.0492,45.0,0.0272,53.0,0.0284,53.0
RYR3,,,,0.5715,0.3518,83.0,1.0127,45.0,0.0187,53.0,0.0564,53.0
S100A1,,,,1.5798,0.8374,83.0,1.5782,45.0,0.0681,53.0,-0.0605,53.0
S100A10,,,,9.6397,1.3528,83.0,1.6497,45.0,0.0295,53.0,0.0295,53.0
S100A11,,,,10.1428,1.339,83.0,1.6565,45.0,0.2459,53.0,-0.2865,53.0
S100A12,,,,0.4285,0.8384,83.0,1.6595,45.0,0.1126,53.0,-0.1568,53.0
S100A13,,,,7.1466,1.5153,83.0,1.577,45.0,0.0453,53.0,-0.0048,53.0
S100A14,,,,4.9477,3.7849,83.0,1.5167,45.0,0.0631,53.0,-0.0775,53.0
S100A16,,,,7.6134,2.1036,83.0,1.5463,45.0,0.051,53.0,-0.0353,53.0
S100A2,,,,4.8377,2.174,83.0,1.5035,45.0,0.0528,53.0,-0.048,53.0
S100A3,,,,1.9364,1.4809,83.0,1.5161,45.0,0.0376,53.0,0.0067,53.0
S100A4,,,,6.3243,2.3869,83.0,1.5861,45.0,0.06,53.0,-0.0637,53.0
S100A5,,,,0.7998,0.9201,83.0,1.487,45.0,0.112,53.0,-0.1507,53.0
S100A6,,,,11.4317,2.2691,83.0,1.5459,45.0,0.073,53.0,-0.0819,53.0
S100A7,,,,0.3669,1.4684,83.0,1.5132,45.0,0.0121,19.0,0.1575,19.0
S100A7A,,,,0.0533,0.3922,83.0,1.4072,45.0,0.0,2.0,0.7977,2.0
S100A7L2,,,,,,,1.7074,45.0,,,,
S100A8,,,,1.7116,2.4246,83.0,1.6011,45.0,0.0285,53.0,0.0179,53.0
S100A9,,,,3.9514,3.7022,83.0,1.5087,45.0,0.049,53.0,-0.0336,53.0
S100B,,,,0.1555,0.2853,83.0,1.0478,45.0,0.0082,53.0,0.1539,53.0
S100G,,,,0.0035,0.0184,83.0,0.6998,45.0,0.0223,53.0,0.0873,53.0
S100P,,,,5.9651,3.6835,83.0,1.0344,45.0,0.0577,53.0,-0.0745,53.0
S100PBP,,,,4.306,0.4977,83.0,0.9792,45.0,0.0231,53.0,0.0322,53.0
S100Z,,,,0.0453,0.131,83.0,0.9654,45.0,0.0252,53.0,0.0668,53.0
S1PR1,,,,0.7332,1.2567,83.0,1.0088,45.0,0.0213,53.0,0.0305,53.0
S1PR2,,,,1.3902,0.6087,83.0,0.9471,45.0,0.0235,53.0,0.0511,53.0
S1PR3,,,,2.0495,1.5255,83.0,1.0091,45.0,0.0362,53.0,-0.0229,53.0
S1PR4,,,,0.4204,0.4292,83.0,0.9556,45.0,0.0565,53.0,-0.0844,53.0
S1PR5,,,,1.1319,0.94,83.0,0.9474,45.0,0.0198,53.0,0.0672,53.0
SAA1,,,,1.9495,1.8793,83.0,,0.0,,0.0,,0.0
SAA2,,,,1.0962,1.3809,83.0,1.0067,45.0,,0.0,,0.0
SAA2-SAA4,,,,,,,1.0025,45.0,,,,
SAA4,,,,0.0908,0.2857,83.0,1.0039,45.0,0.0347,53.0,-0.0011,53.0
SAAL1,,,,4.6611,0.549,83.0,0.9552,45.0,0.0577,53.0,-0.0591,53.0
SAC3D1,,,,4.0951,0.6517,83.0,1.1376,45.0,0.0405,53.0,-0.0021,53.0
SACM1L,,,,4.7356,0.4828,83.0,0.9194,45.0,0.9417,53.0,-1.2082,53.0
SACS,0.0,0.0,131.0,2.5188,1.0511,83.0,0.7925,45.0,0.0733,53.0,-0.0092,53.0
SAE1,,,,6.8346,0.5576,83.0,1.0174,45.0,0.9703,53.0,-1.4953,53.0
SAFB,,,,5.9696,0.495,83.0,0.8717,45.0,0.191,53.0,-0.2168,53.0
SAFB2,,,,4.9647,0.5169,83.0,0.9093,45.0,0.0794,53.0,-0.1148,53.0
SAG,,,,0.034,0.0596,83.0,1.06,45.0,0.0575,53.0,-0.0413,53.0
SAGE1,,,,0.3977,1.1099,83.0,0.7875,45.0,0.0151,53.0,0.0977,53.0
SALL1,,,,0.4215,0.8011,83.0,1.0896,45.0,0.0294,53.0,0.0042,53.0
SALL2,,,,1.0285,0.924,83.0,1.1854,45.0,0.0359,53.0,-0.0072,53.0
SALL3,,,,0.1736,0.6527,83.0,0.7924,45.0,0.0494,53.0,-0.0593,53.0
SALL4,,,,1.3043,1.1025,83.0,1.29,45.0,0.0803,53.0,-0.1139,53.0
SAMD1,,,,4.4989,0.4924,83.0,0.6753,45.0,,,,
SAMD10,,,,2.6024,0.9249,83.0,1.4155,45.0,0.0418,53.0,-0.0341,53.0
SAMD11,,,,2.237,1.5555,83.0,1.0523,45.0,0.0706,53.0,-0.0717,53.0
SAMD12,,,,2.4837,1.2043,83.0,1.267,45.0,0.0805,53.0,-0.0886,53.0
SAMD13,,,,1.2381,0.7294,83.0,1.1196,45.0,0.0321,53.0,-0.0114,53.0
SAMD14,,,,0.5137,0.4819,83.0,1.2181,45.0,0.0838,53.0,-0.1246,53.0
SAMD15,,,,0.8767,0.4845,83.0,1.2549,45.0,0.0436,53.0,-0.0165,53.0
SAMD3,,,,0.1566,0.4829,83.0,0.8957,45.0,0.0147,53.0,0.0804,53.0
SAMD4A,,,,3.5385,1.2549,83.0,1.3038,45.0,0.167,53.0,-0.2073,53.0
SAMD4B,,,,6.2579,0.5039,83.0,1.1449,45.0,0.2969,53.0,-0.3328,53.0
SAMD5,,,,0.9258,1.1644,83.0,0.8976,45.0,0.0166,53.0,0.0696,53.0
SAMD7,,,,0.0052,0.0237,83.0,1.1522,45.0,0.0099,53.0,0.1216,53.0
SAMD8,,,,3.457,0.5731,83.0,1.0324,45.0,0.0557,53.0,-0.0487,53.0
SAMD9,,,,2.4429,1.37,83.0,1.2046,45.0,0.0131,53.0,0.1339,53.0
SAMD9L,0.0,0.0,131.0,1.6513,1.3281,83.0,1.2774,45.0,0.0594,53.0,-0.0681,53.0
SAMHD1,,,,3.5522,1.0262,83.0,1.2086,45.0,0.2059,53.0,-0.2375,53.0
SAMM50,,,,4.942,0.4609,83.0,0.9002,45.0,0.559,53.0,-0.5038,53.0
SAMSN1,,,,0.2716,0.571,83.0,0.9413,45.0,0.0161,53.0,0.0676,53.0
SAMTOR,,,,2.3519,0.6105,83.0,1.1538,45.0,0.0151,53.0,0.0677,53.0
SANBR,,,,3.0572,0.7381,83.0,1.2126,45.0,0.0562,53.0,-0.0788,53.0
SAP130,,,,3.5014,0.5055,83.0,1.0461,45.0,0.3372,53.0,-0.3371,53.0
SAP18,,,,6.6015,0.5442,83.0,0.7984,45.0,0.9688,53.0,-1.1472,53.0
SAP25,,,,1.084,1.099,83.0,1.2104,45.0,0.046,53.0,-0.0467,53.0
SAP30,,,,3.951,0.9284,83.0,0.8446,45.0,0.0162,53.0,0.1281,53.0
SAP30BP,,,,5.5945,0.5005,83.0,1.1875,45.0,0.9958,53.0,-1.7548,53.0
SAP30L,,,,3.9249,0.6023,83.0,1.2106,45.0,0.0149,53.0,0.096,53.0
SAPCD1,,,,2.7066,0.9243,83.0,1.0953,45.0,0.0563,53.0,-0.0723,53.0
SAPCD2,,,,4.463,0.9081,83.0,1.2157,45.0,0.0639,53.0,-0.0554,53.0
SAR1A,,,,5.7074,0.4662,83.0,1.0547,45.0,0.0493,53.0,-0.0187,53.0
SAR1B,,,,5.4918,0.5316,83.0,0.9775,45.0,0.0356,53.0,0.0016,53.0
SARAF,,,,6.8884,0.6325,83.0,0.8545,45.0,0.0164,53.0,0.0637,53.0
SARDH,,,,0.3162,0.5536,83.0,1.0444,45.0,0.0948,53.0,-0.1381,53.0
SARM1,,,,2.4116,0.8641,83.0,1.0839,45.0,0.0218,2.0,0.021,2.0
SARNP,,,,6.3955,0.6141,83.0,1.1401,45.0,0.592,53.0,-0.5565,53.0
SARS1,,,,6.85,0.7191,83.0,1.08,45.0,1.0,53.0,-3.0552,53.0
SARS2,,,,4.5323,0.5799,83.0,1.103,45.0,0.7274,53.0,-0.7135,53.0
SART1,,,,5.0188,0.5577,83.0,1.172,45.0,0.9665,53.0,-1.1949,53.0
SART3,,,,5.3044,0.5088,83.0,1.1014,45.0,0.9882,53.0,-1.4828,53.0
SASH1,,,,2.2359,0.9821,83.0,0.898,45.0,0.0169,53.0,0.1278,53.0
SASH3,,,,0.1017,0.1568,83.0,0.715,45.0,0.0086,53.0,0.1603,53.0
SASS6,,,,3.1836,0.5702,83.0,1.021,45.0,0.8677,53.0,-0.9073,53.0
SAT1,,,,8.1638,1.2957,83.0,0.7517,45.0,0.006,53.0,0.2074,53.0
SAT2,,,,4.7402,1.1806,83.0,0.9295,45.0,0.0569,53.0,-0.0578,53.0
SATB1,,,,1.7572,1.3301,83.0,0.9177,45.0,0.045,53.0,-0.0237,53.0
SATB2,,,,2.0281,0.9997,83.0,1.0212,45.0,0.0357,53.0,-0.0121,53.0
SATL1,,,,0.069,0.1568,83.0,0.6947,45.0,0.0122,53.0,0.1074,53.0
SAV1,,,,4.5873,0.5507,83.0,1.2434,45.0,0.0353,53.0,0.0228,53.0
SAXO1,,,,0.0194,0.0361,83.0,0.815,45.0,0.0606,53.0,-0.0748,53.0
SAXO2,,,,1.0269,0.5016,83.0,1.0726,45.0,0.0297,53.0,0.0316,53.0
SAXO3,,,,0.4442,0.3656,83.0,0.9996,45.0,,,,
SAXO4,,,,0.7498,0.5821,83.0,1.0914,45.0,0.1079,53.0,-0.1456,53.0
SAXO5,,,,0.719,0.6053,83.0,0.82,45.0,0.0221,53.0,0.0494,53.0
SAYSD1,,,,3.3216,0.5365,83.0,1.0748,45.0,0.0736,53.0,-0.0964,53.0
SBDS,,,,6.6567,0.6515,83.0,1.03,45.0,0.9925,53.0,-2.1318,53.0
SBF1,,,,4.5161,0.5855,83.0,0.8976,45.0,0.0217,53.0,0.0815,53.0
SBF2,,,,3.7475,0.8511,83.0,0.9404,45.0,0.0126,53.0,0.1163,53.0
SBK1,,,,1.2565,1.1412,83.0,1.0175,45.0,0.1658,53.0,-0.2263,53.0
SBK2,,,,0.2595,0.5448,83.0,1.0465,45.0,0.0364,53.0,0.0038,53.0
SBK3,,,,0.8704,0.8796,83.0,1.0523,45.0,0.0185,2.0,0.0593,2.0
SBNO1,,,,3.6091,0.5746,83.0,1.0792,45.0,0.9841,53.0,-1.3694,53.0
SBNO2,,,,4.8576,0.7314,83.0,0.8822,45.0,0.0876,53.0,-0.026,53.0
SBSN,,,,0.4538,0.6773,83.0,1.0734,45.0,0.0492,53.0,-0.0389,53.0
SBSPON,,,,0.7228,0.8697,83.0,1.2511,45.0,0.0343,53.0,0.0084,53.0
SC5D,,,,5.8934,1.0238,83.0,1.1093,45.0,0.0434,53.0,0.0199,53.0
SCAF1,,,,4.7132,0.532,83.0,1.0785,45.0,0.2119,53.0,-0.2284,53.0
SCAF11,,,,5.3712,0.8015,83.0,1.1861,45.0,0.1417,53.0,-0.1619,53.0
SCAF4,0.0,0.0,131.0,4.0406,0.4653,83.0,0.9858,45.0,0.227,53.0,-0.2179,53.0
SCAF8,,,,3.709,0.5116,83.0,0.8849,45.0,0.1228,53.0,-0.1059,53.0
SCAI,,,,1.8766,0.4205,83.0,1.0269,45.0,0.024,53.0,0.0264,53.0
SCAMP1,,,,5.1418,0.5581,83.0,1.0113,45.0,0.1558,2.0,-0.2302,2.0
SCAMP2,,,,5.8533,0.7011,83.0,1.0517,45.0,0.0334,53.0,-0.0205,53.0
SCAMP3,,,,6.1286,0.612,83.0,1.2655,45.0,0.0268,53.0,0.0592,53.0
SCAMP4,,,,5.1312,0.5543,83.0,0.9467,45.0,0.0421,53.0,-0.0073,53.0
SCAMP5,,,,2.7489,1.1677,83.0,1.0418,45.0,0.0348,53.0,-0.0193,53.0
SCAND1,,,,5.6587,1.0429,83.0,1.7185,45.0,0.1789,53.0,-0.2256,53.0
SCAND3,,,,1.0758,0.522,83.0,0.9439,45.0,0.0189,53.0,0.0707,53.0
SCAP,,,,4.6639,0.4602,83.0,0.8134,45.0,0.777,53.0,-1.1655,53.0
SCAPER,,,,2.7789,0.597,83.0,1.0223,45.0,0.0382,53.0,0.0692,53.0
SCARA3,,,,2.3171,2.0511,83.0,0.8453,45.0,0.0226,53.0,0.0355,53.0
SCARA5,,,,0.4525,0.9581,83.0,0.8275,45.0,0.0154,53.0,0.0916,53.0
SCARB1,,,,5.4851,1.3836,83.0,1.0481,45.0,0.113,53.0,-0.1474,53.0
SCARB2,,,,6.3288,0.7366,83.0,0.9459,45.0,0.0511,53.0,-0.0659,53.0
SCARF1,,,,0.5713,0.6131,83.0,0.9814,45.0,0.086,53.0,-0.0925,53.0
SCARF2,,,,0.9835,1.0509,83.0,1.2518,45.0,0.0635,53.0,-0.0252,53.0
SCART1,,,,0.8786,0.6341,83.0,1.0237,45.0,,,,
SCCPDH,,,,4.91,0.9867,83.0,1.1226,45.0,0.0078,53.0,0.1682,53.0
SCD,,,,7.271,1.3885,83.0,1.0203,45.0,0.7501,53.0,-0.8732,53.0
SCD5,,,,2.6257,1.8234,83.0,0.9471,45.0,0.0569,53.0,-0.0723,53.0
SCEL,,,,3.3779,2.4805,83.0,0.8701,45.0,0.014,53.0,0.1349,53.0
SCFD1,,,,5.6167,0.5628,83.0,1.2794,45.0,0.9668,53.0,-1.2709,53.0
SCFD2,,,,3.1431,0.4932,83.0,0.969,45.0,0.0568,53.0,-0.071,53.0
SCG2,0.0,0.0,131.0,1.601,2.1323,83.0,1.139,45.0,0.0508,53.0,-0.0571,53.0
SCG3,,,,0.3155,0.8793,83.0,1.0644,45.0,0.0127,53.0,0.1421,53.0
SCG5,,,,1.9968,1.5522,83.0,1.0392,45.0,0.1948,53.0,-0.2286,53.0
SCGB1A1,,,,0.2316,0.9676,83.0,1.0364,45.0,0.0567,53.0,-0.0644,53.0
SCGB1C1,,,,0.0012,0.0112,83.0,,0.0,,,,
SCGB1C2,,,,0.004,0.0215,83.0,,0.0,,,,
SCGB1D1,,,,0.0,0.0,83.0,1.1201,45.0,0.1294,53.0,-0.1495,53.0
SCGB1D2,,,,0.1411,0.6098,83.0,1.0887,45.0,0.0815,53.0,-0.0878,53.0
SCGB1D4,,,,0.0,0.0,83.0,1.0414,45.0,0.027,53.0,0.0123,53.0
SCGB2A1,,,,0.1814,0.4294,83.0,1.0129,45.0,0.165,53.0,-0.2143,53.0
SCGB2A2,,,,0.2389,1.2428,83.0,1.1079,45.0,0.0576,53.0,-0.0679,53.0
SCGB2B2,,,,0.2683,0.18,83.0,1.1034,45.0,0.0419,53.0,-0.0282,53.0
SCGB3A1,,,,0.2261,0.91,83.0,1.2967,45.0,0.0085,53.0,0.1569,53.0
SCGB3A2,,,,0.0916,0.3694,83.0,1.0722,45.0,0.0432,53.0,-0.0148,53.0
SCGN,,,,0.1941,0.8187,83.0,1.0149,45.0,0.0202,53.0,0.0651,53.0
SCHIP1,,,,1.6428,0.8009,83.0,1.2015,45.0,0.0224,53.0,0.027,53.0
SCIMP,,,,0.1085,0.0784,83.0,0.9458,45.0,0.0252,53.0,0.0423,53.0
SCIN,,,,1.4124,1.5278,83.0,1.315,45.0,0.0597,53.0,-0.0487,53.0
SCLT1,,,,3.3213,0.6715,83.0,0.9014,45.0,0.0068,53.0,0.1756,53.0
SCLY,,,,3.6015,0.6067,83.0,1.087,45.0,0.0608,53.0,-0.0567,53.0
SCMH1,,,,4.0181,0.5962,83.0,1.1142,45.0,0.0539,53.0,-0.0778,53.0
SCML1,,,,3.3621,1.1404,83.0,0.6804,45.0,0.0194,53.0,0.058,53.0
SCML2,,,,1.9873,1.0573,83.0,0.6517,45.0,0.0474,53.0,-0.0644,53.0
SCML4,,,,0.0093,0.0179,83.0,0.9163,45.0,0.0383,53.0,-0.0232,53.0
SCN10A,,,,0.0008,0.0024,83.0,0.9223,45.0,0.033,53.0,-0.0111,53.0
SCN11A,,,,0.0995,0.1866,83.0,0.9211,45.0,0.03,53.0,-0.0191,53.0
SCN1A,,,,0.087,0.2886,83.0,1.0552,45.0,0.0239,53.0,0.0151,53.0
SCN1B,,,,1.7138,1.3177,83.0,1.082,45.0,0.088,53.0,-0.102,53.0
SCN2A,,,,0.2689,0.581,83.0,1.0544,45.0,0.0403,53.0,-0.0296,53.0
SCN2B,,,,0.0196,0.0515,83.0,1.0769,45.0,0.011,53.0,0.1349,53.0
SCN3A,,,,0.202,0.8233,83.0,1.0401,45.0,0.0166,53.0,0.0731,53.0
SCN3B,,,,0.3471,0.4511,83.0,1.1029,45.0,0.0514,53.0,-0.0061,53.0
SCN4A,,,,0.1578,0.2396,83.0,1.212,45.0,0.025,53.0,0.0344,53.0
SCN4B,,,,0.2205,0.4623,83.0,1.0867,45.0,0.0189,53.0,0.0787,53.0
SCN5A,,,,0.3232,0.5487,83.0,0.8937,45.0,0.0816,53.0,-0.1251,53.0
SCN7A,,,,0.0544,0.275,83.0,1.0308,45.0,0.0142,53.0,0.0812,53.0
SCN8A,,,,1.1522,0.8422,83.0,1.1682,45.0,0.1027,53.0,-0.1467,53.0
SCN9A,,,,1.2066,1.2733,83.0,1.0451,45.0,0.0273,53.0,0.064,53.0
SCNM1,,,,5.6018,0.7152,83.0,1.4608,45.0,0.4166,53.0,-0.4147,53.0
SCNN1A,,,,4.9048,2.3932,83.0,1.0955,45.0,0.0324,53.0,-0.0019,53.0
SCNN1B,,,,0.9003,1.2533,83.0,1.0115,45.0,0.0269,53.0,0.0151,53.0
SCNN1D,,,,1.3195,0.8202,83.0,1.0014,45.0,0.1336,53.0,-0.1544,53.0
SCNN1G,,,,0.4581,0.9487,83.0,1.022,45.0,0.016,53.0,0.082,53.0
SCO1,,,,4.7317,0.6352,83.0,0.9479,45.0,0.2281,53.0,-0.2396,53.0
SCO2,,,,4.442,0.5578,83.0,0.9605,45.0,0.1506,53.0,-0.1347,53.0
SCOC,0.0,0.0,131.0,5.8753,1.2314,83.0,0.9384,45.0,0.0106,53.0,0.1544,53.0
SCP2,,,,6.8684,0.6599,83.0,1.0859,45.0,0.0866,53.0,-0.0848,53.0
SCP2D1,,,,0.0031,0.0229,83.0,1.0599,45.0,0.0103,53.0,0.1258,53.0
SCPEP1,,,,5.8225,1.0303,83.0,1.1878,45.0,0.2115,53.0,-0.2593,53.0
SCRG1,,,,0.0151,0.0183,83.0,0.9385,45.0,0.0123,53.0,0.0917,53.0
SCRIB,,,,5.4931,0.8537,83.0,1.3943,45.0,0.0673,53.0,-0.0601,53.0
SCRN1,,,,5.6186,0.9854,83.0,1.2918,45.0,0.0237,53.0,0.051,53.0
SCRN2,,,,4.6228,0.8575,83.0,1.2527,45.0,0.1764,53.0,-0.2228,53.0
SCRN3,,,,4.4717,0.537,83.0,1.0554,45.0,0.0416,53.0,-0.0393,53.0
SCRT1,,,,0.1016,0.3395,83.0,1.2596,45.0,0.2432,53.0,-0.2782,53.0
SCRT2,,,,0.0103,0.027,83.0,1.0348,45.0,0.0096,53.0,0.1279,53.0
SCT,,,,0.0888,0.2044,83.0,0.7929,45.0,0.0363,53.0,0.0293,53.0
SCTR,,,,0.0771,0.1495,83.0,1.0564,45.0,0.0592,53.0,-0.0675,53.0
SCUBE1,,,,0.2389,0.6325,83.0,0.9197,45.0,0.0275,53.0,0.0091,53.0
SCUBE2,,,,0.4931,0.6926,83.0,0.9878,45.0,0.0198,53.0,0.0612,53.0
SCUBE3,,,,0.5731,0.9988,83.0,1.0776,45.0,0.0556,53.0,-0.0755,53.0
SCX,,,,1.2879,0.7386,83.0,1.1793,45.0,0.0108,48.0,0.123,48.0
SCYGR1,,,,0.0121,0.0561,83.0,,0.0,,,,
